RunID,Mode,Lambda1,Lambda2,Gamma,GraphK,Tol,ACC,NMI,Purity,TimeSec,Status
18,3,0.100000,0.000100,1.10,3,1.0e-03,0.195000,0.435034,0.200000,8.04,Success
19,4,0.100000,0.000100,1.10,3,1.0e-03,0.227500,0.468845,0.235000,8.02,Success
20,5,0.100000,0.000100,1.10,3,1.0e-03,0.190000,0.432388,0.200000,8.07,Success
21,1,1.000000,0.000100,1.10,3,1.0e-03,0.197500,0.441885,0.202500,8.15,Success
22,2,1.000000,0.000100,1.10,3,1.0e-03,0.192500,0.426734,0.202500,7.82,Success
23,3,1.000000,0.000100,1.10,3,1.0e-03,0.197500,0.442690,0.212500,8.09,Success
24,4,1.000000,0.000100,1.10,3,1.0e-03,0.200000,0.443671,0.207500,8.03,Success
25,5,1.000000,0.000100,1.10,3,1.0e-03,0.190000,0.427269,0.197500,9.22,Success
26,1,0.000100,0.001000,1.10,3,1.0e-03,0.332500,0.575932,0.370000,4.41,Success
27,2,0.000100,0.001000,1.10,3,1.0e-03,0.547500,0.756699,0.595000,7.87,Success
28,3,0.000100,0.001000,1.10,3,1.0e-03,0.427500,0.691306,0.475000,7.66,Success
29,4,0.000100,0.001000,1.10,3,1.0e-03,0.422500,0.654507,0.460000,6.00,Success
30,5,0.000100,0.001000,1.10,3,1.0e-03,0.317500,0.555865,0.340000,7.65,Success
31,1,0.001000,0.001000,1.10,3,1.0e-03,0.377500,0.596803,0.397500,6.80,Success
32,2,0.001000,0.001000,1.10,3,1.0e-03,0.522500,0.737424,0.557500,7.83,Success
33,3,0.001000,0.001000,1.10,3,1.0e-03,0.480000,0.716094,0.527500,8.16,Success
34,4,0.001000,0.001000,1.10,3,1.0e-03,0.432500,0.675195,0.480000,9.73,Success
1,1,0.000100,0.000100,1.10,3,1.0e-03,0.362500,0.592435,0.395000,5.83,Success
2,2,0.000100,0.000100,1.10,3,1.0e-03,0.602500,0.796629,0.642500,7.76,Success
3,3,0.000100,0.000100,1.10,3,1.0e-03,0.485000,0.704174,0.522500,6.63,Success
4,4,0.000100,0.000100,1.10,3,1.0e-03,0.497500,0.701581,0.517500,5.92,Success
5,5,0.000100,0.000100,1.10,3,1.0e-03,0.340000,0.576457,0.360000,3.99,Success
6,1,0.001000,0.000100,1.10,3,1.0e-03,0.167500,0.363178,0.202500,7.73,Success
7,2,0.001000,0.000100,1.10,3,1.0e-03,0.587500,0.764928,0.617500,4.03,Success
8,3,0.001000,0.000100,1.10,3,1.0e-03,0.387500,0.628068,0.425000,2.02,Success
9,4,0.001000,0.000100,1.10,3,1.0e-03,0.147500,0.344496,0.192500,7.63,Success
10,5,0.001000,0.000100,1.10,3,1.0e-03,0.160000,0.361654,0.185000,7.83,Success
11,1,0.010000,0.000100,1.10,3,1.0e-03,0.130000,0.367336,0.180000,7.69,Success
12,2,0.010000,0.000100,1.10,3,1.0e-03,0.170000,0.391776,0.225000,7.81,Success
13,3,0.010000,0.000100,1.10,3,1.0e-03,0.180000,0.393767,0.225000,8.05,Success
14,4,0.010000,0.000100,1.10,3,1.0e-03,0.200000,0.433698,0.230000,7.79,Success
15,5,0.010000,0.000100,1.10,3,1.0e-03,0.125000,0.364348,0.175000,7.75,Success
16,1,0.100000,0.000100,1.10,3,1.0e-03,0.210000,0.453830,0.230000,7.71,Success
17,2,0.100000,0.000100,1.10,3,1.0e-03,0.220000,0.476710,0.232500,7.69,Success
18,3,0.100000,0.000100,1.10,3,1.0e-03,0.195000,0.435034,0.200000,7.76,Success
19,4,0.100000,0.000100,1.10,3,1.0e-03,0.227500,0.468845,0.235000,7.70,Success
20,5,0.100000,0.000100,1.10,3,1.0e-03,0.190000,0.432388,0.200000,7.81,Success
21,1,1.000000,0.000100,1.10,3,1.0e-03,0.197500,0.441885,0.202500,7.70,Success
22,2,1.000000,0.000100,1.10,3,1.0e-03,0.192500,0.426734,0.202500,7.78,Success
23,3,1.000000,0.000100,1.10,3,1.0e-03,0.197500,0.442690,0.212500,7.92,Success
24,4,1.000000,0.000100,1.10,3,1.0e-03,0.200000,0.443671,0.207500,7.76,Success
25,5,1.000000,0.000100,1.10,3,1.0e-03,0.190000,0.427269,0.197500,7.75,Success
26,1,0.000100,0.001000,1.10,3,1.0e-03,0.332500,0.575932,0.370000,4.46,Success
27,2,0.000100,0.001000,1.10,3,1.0e-03,0.547500,0.756699,0.595000,7.64,Success
28,3,0.000100,0.001000,1.10,3,1.0e-03,0.427500,0.691306,0.475000,7.75,Success
29,4,0.000100,0.001000,1.10,3,1.0e-03,0.422500,0.654507,0.460000,6.17,Success
30,5,0.000100,0.001000,1.10,3,1.0e-03,0.317500,0.555865,0.340000,7.25,Success
31,1,0.001000,0.001000,1.10,3,1.0e-03,0.377500,0.596803,0.397500,6.62,Success
32,2,0.001000,0.001000,1.10,3,1.0e-03,0.522500,0.737424,0.557500,7.86,Success
33,3,0.001000,0.001000,1.10,3,1.0e-03,0.480000,0.716094,0.527500,7.65,Success
