trial,norm_mode,norm_name,gamma,lambda2,beta,layers,ACC,NMI,Purity,time_s,alpha1,alpha2
48,2,L2-Col,5.00,0.000500,84.0,[400,150,40,],76.50,89.16,80.50,24.45,0.4612,0.5388
49,2,L2-Col,5.00,0.001000,84.0,[400,150,40,],81.25,91.68,83.50,25.06,0.4502,0.5498
50,2,L2-Col,5.00,0.001000,84.0,[400,150,40,],82.25,92.62,84.50,24.95,0.4585,0.5415
51,2,L2-Col,5.00,0.001000,84.0,[400,150,40,],77.75,88.92,80.50,24.63,0.4614,0.5386
52,2,L2-Col,5.00,0.001000,84.0,[400,150,40,],77.75,89.65,79.75,24.44,0.4671,0.5329
53,2,L2-Col,5.00,0.002000,84.0,[400,150,40,],79.75,90.65,81.75,24.66,0.4471,0.5529
54,2,L2-Col,5.00,0.002000,84.0,[400,150,40,],78.25,91.34,80.75,24.60,0.4504,0.5496
55,2,L2-Col,5.00,0.002000,84.0,[400,150,40,],77.50,90.01,81.25,24.52,0.4599,0.5401
56,2,L2-Col,5.00,0.002000,84.0,[400,150,40,],80.00,89.80,81.75,24.63,0.4618,0.5382
57,2,L2-Col,5.00,0.005000,84.0,[400,150,40,],84.25,93.01,87.25,24.86,0.4465,0.5535
58,2,L2-Col,5.00,0.005000,84.0,[400,150,40,],82.00,92.55,83.50,24.54,0.4471,0.5529
59,2,L2-Col,5.00,0.005000,84.0,[400,150,40,],73.25,87.63,77.00,24.60,0.4518,0.5482
60,2,L2-Col,5.00,0.005000,84.0,[400,150,40,],78.25,89.74,80.50,24.32,0.4454,0.5546
61,2,L2-Col,5.00,0.010000,84.0,[400,150,40,],73.00,89.21,77.75,24.50,0.4424,0.5576
62,2,L2-Col,5.00,0.010000,84.0,[400,150,40,],78.25,89.25,79.75,24.64,0.4421,0.5579
63,2,L2-Col,5.00,0.010000,84.0,[400,150,40,],73.50,88.23,77.75,24.27,0.4467,0.5533
64,2,L2-Col,5.00,0.010000,84.0,[400,150,40,],78.75,89.38,80.50,24.10,0.4517,0.5483
65,2,L2-Col,5.00,0.000500,92.0,[400,150,40,],75.50,89.31,78.25,24.49,0.4476,0.5524
66,2,L2-Col,5.00,0.000500,92.0,[400,150,40,],79.75,90.78,81.25,24.54,0.4623,0.5377
67,2,L2-Col,5.00,0.000500,92.0,[400,150,40,],80.25,90.58,82.25,24.60,0.4678,0.5322
68,2,L2-Col,5.00,0.000500,92.0,[400,150,40,],75.25,88.87,79.00,24.28,0.4682,0.5318
