beta,ACC,NMI,Purity
67.0,84.5,91.3341232949226,84.5
84.0,84.5,91.8110140044916,84.75
92.0,84.75,92.3646273745595,85.75
115.0,86.0,92.7873762463163,87.0
246.0,84.0,92.4015028854753,85.0
283.0,84.5,92.7496461411456,84.75
301.0,84.75,92.1408296199681,84.75
